2026-08-21T13:00:25.844Z	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail.ID2025-1430.html	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail-id2025-1430	11.97%	heightΔ 1.2%	FAIL	ref:frozen-live
2026-08-21T13:00:43.927Z	/newsroom/-patients-with-heart-disease-may-be-at-increased-risk-for-advanc.h00-159703068.html	/newsroom/patients-with-heart-disease-may-be-at-increased-risk-for-advanc	47.40%	heightΔ 43.4%	FAIL	ref:frozen-live
2026-08-21T13:00:52.886Z	/for-physicians/clinical-tools-resources/clinical-calculators.html	/for-physicians/clinical-tools-resources/clinical-calculators	13.20%	heightΔ 1.2%	FAIL	ref:frozen-live
2026-08-21T13:04:00.053Z	/patients-family/becoming-our-patient/planning-for-care/virtual-visits.html	/patients-family/becoming-our-patient/planning-for-care/virtual-visits	20.57%	heightΔ 2.4%	FAIL	ref:frozen-live
2026-08-21T13:05:38.895Z	/for-physicians/clinical-tools-resources/clinical-calculators.html	/for-physicians/clinical-tools-resources/clinical-calculators	13.24%	heightΔ 1.2%	FAIL	ref:frozen-live
2026-08-21T13:06:16.112Z	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail.ID2025-1430.html	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail-id2025-1430	5.37%	heightΔ 0.1%	PASS	ref:frozen-live
2026-08-21T13:06:30.982Z	/newsroom/-patients-with-heart-disease-may-be-at-increased-risk-for-advanc.h00-159703068.html	/newsroom/patients-with-heart-disease-may-be-at-increased-risk-for-advanc	32.33%	heightΔ 20.8%	FAIL	ref:frozen-live
2026-08-21T13:07:13.276Z	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail.ID2016-0142.html	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail-id2016-0142	8.17%	heightΔ 0.5%	PASS	ref:frozen-live
2026-08-21T13:07:22.984Z	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail.ID2017-1059.html	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail-id2017-1059	8.11%	heightΔ 0.6%	PASS	ref:frozen-live
2026-08-21T13:07:32.876Z	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail.ID2020-0277.html	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail-id2020-0277	8.31%	heightΔ 0.5%	PASS	ref:frozen-live
2026-08-21T13:07:42.993Z	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail.ID2021-1031.html	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail-id2021-1031	5.30%	heightΔ 0.2%	PASS	ref:frozen-live
2026-08-21T13:10:08.047Z	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail.ID2023-0365.html	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail-id2023-0365	5.49%	heightΔ 0.2%	PASS	ref:frozen-live
2026-08-21T13:10:17.754Z	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail.ID2018-0233.html	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail-id2018-0233	8.43%	heightΔ 0.5%	PASS	ref:frozen-live
2026-08-21T13:10:25.968Z	/newsroom/-patients-with-heart-disease-may-be-at-increased-risk-for-advanc.h00-159703068.html	/newsroom/patients-with-heart-disease-may-be-at-increased-risk-for-advanc	32.33%	heightΔ 20.8%	FAIL	ref:frozen-live
2026-08-21T13:10:27.106Z	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail.ID2017-0202.html	/patients-family/diagnosis-treatment/clinical-trials/clinical-trials-index/clinical-trials-detail-id2017-0202	8.37%	heightΔ 0.6%	PASS	ref:frozen-live
2026-08-21T13:11:26.701Z	/cancerwise/-5-ways-our-social-work-counselors-can-help-during-cancer-treatm.h00-158988234.html	/cancerwise/5-ways-our-social-work-counselors-can-help-during-cancer-treatm	27.92%	heightΔ 28.1%	FAIL	ref:frozen-live
2026-08-21T13:13:07.139Z	/cancerwise/-5-ways-our-social-work-counselors-can-help-during-cancer-treatm.h00-158988234.html	/cancerwise/5-ways-our-social-work-counselors-can-help-during-cancer-treatm	33.19%	heightΔ 10.9%	FAIL	ref:frozen-live
